指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
18-Sep,5.8,14.12,9.2,2.5,3.6,"21,691.02",8.3,4,15.5,13.5,2.9,13.3,50.8,50,"-9,652.88","51,782.97","290,902.50",8.3,"30,870.25","214,084.15",13.64,120.53,115.98
18-Oct,5.9,17.01,8.6,2.5,3.3,"7,419.66",8,2.7,14.5,12.5,2.2,12.5,50.2,50.1,"3,695.81","57,602.14","292,155.38",7.3,"30,530.98","213,168.39",14.4,120.02,115.47
18-Nov,5.4,3.43,8.1,2.2,2.7,"15,239.34",8,1.5,14.5,12.5,1.4,12.1,50,50.2,"-5,655.82","50,959.48","291,636.98",-27.6,"30,616.97","212,597.09",14.87,119.98,115.4
18-Dec,5.7,-5.94,8.16,1.9,0.9,"15,897.59",8.1,1.5,14.5,12.5,1.3,12.2,49.4,49.7,"-18,135.81","40,538.80","285,046.49",23.2,"30,727.12","212,556.68",18.47,121.07,116.14
19-Jan,6.8,4.2,8.18,1.7,0.1,"46,015.22",8.4,0.4,13.5,11.5,-1.15,7.5,49.5,48.3,"-15,678.21","45,875.44","282,104.79",2.8,"30,879.24","212,544.54",16.56,122.1,116.78
19-Feb,3.36,-13.6,8.2,1.5,0.1,"7,099.22",8,2,13.5,11.5,-3.6,2.8,49.2,49.9,"-13,220.60","49,117.44","284,451.94",3.3,"30,901.80","212,541.24",16.07,124.52,117.87
19-Mar,8.5,2.9,8.7,2.3,0.4,"28,593.72",8.6,4.6,13.5,11.5,-0.9,5.6,50.5,50.8,"-10,763.00","42,190.12","292,106.55",4.9,"30,987.61","212,536.65",15.77,124.37,118.76
19-Apr,5.4,0.5,7.2,2.5,0.9,"13,858.84",8.5,2.9,13.5,11.5,-0.3,8.1,50.1,50.2,"1,957.00","47,536.83","294,309.02",2.8,"30,949.53","212,528.04",14.09,124.01,119.09
19-May,5,-3.4,8.6,2.7,0.6,"14,074.59",8.5,3.4,13.5,11.5,-1.6,6.1,49.4,50.2,-88,"52,385.92","297,538.25",4.6,"31,010.04","212,517.12",13.8,122.18,117.51
19-Jun,6.3,-4,9.8,2.7,0,"22,629.00",8.5,4.4,13.5,11.5,-1.8,5.6,49.4,49.4,"-12,588.00","47,365.46","303,276.80",3,"31,192.34","212,455.20",16.06,120.41,115.89
19-Jul,4.8,-0.7,7.6,2.8,-0.3,"10,111.85",8.1,3.1,13.5,11.5,-1.3,6.2,49.7,49.9,"3,352.00","55,456.66","303,255.97",4.1,"31,036.97","212,448.12",8.03,121.18,116.17
